Promedio,Máximo,Frecuencia del Máximo,Combinación
10.0,13.0,2.0,"A, B, C, D"
12.0,21.0,1.0,"A, B, C, E"
10.0,13.0,3.0,"A, B, C, F"
11.666666666666666,17.0,1.0,"A, B, C, G"
9.333333333333334,15.0,1.0,"A, B, C, H"
7.0,13.0,1.0,"A, B, C, I"
6.333333333333333,13.0,1.0,"A, B, C, J"
5.666666666666667,13.0,1.0,"A, B, C, K"
7.666666666666667,13.0,1.0,"A, B, C, L"
6.666666666666667,13.0,1.0,"A, B, C, M"
6.666666666666667,13.0,1.0,"A, B, C, N"
10.0,15.0,1.0,"A, B, C, O"
10.0,17.0,1.0,"A, B, C, P"
6.0,13.0,1.0,"A, B, C, Q"
9.333333333333334,13.0,3.0,"A, B, C, R"
9.666666666666666,15.0,1.0,"A, B, C, S"
6.333333333333333,13.0,1.0,"A, B, C, T"
7.333333333333333,13.0,1.0,"A, B, C, U"
6.0,13.0,1.0,"A, B, C, V"
6.666666666666667,13.0,1.0,"A, B, C, W"
8.666666666666666,13.0,1.0,"A, B, C, X"
8.666666666666666,13.0,2.0,"A, B, C, Y"
8.0,13.0,1.0,"A, B, C, Z"
12.333333333333334,21.0,1.0,"A, B, D, E"
11.0,13.0,4.0,"A, B, D, F"
12.0,15.0,1.0,"A, B, D, G"
10.666666666666666,15.0,1.0,"A, B, D, H"
7.333333333333333,13.0,2.0,"A, B, D, I"
8.0,13.0,2.0,"A, B, D, J"
7.666666666666667,13.0,2.0,"A, B, D, K"
9.333333333333334,13.0,3.0,"A, B, D, L"
8.0,13.0,2.0,"A, B, D, M"
8.0,13.0,2.0,"A, B, D, N"
12.333333333333334,21.0,1.0,"A, B, D, O"
12.333333333333334,17.0,1.0,"A, B, D, P"
6.666666666666667,13.0,2.0,"A, B, D, Q"
11.666666666666666,13.0,4.0,"A, B, D, R"
10.666666666666666,15.0,1.0,"A, B, D, S"
7.0,13.0,2.0,"A, B, D, T"
9.666666666666666,15.0,1.0,"A, B, D, U"
7.666666666666667,13.0,2.0,"A, B, D, V"
8.0,13.0,2.0,"A, B, D, W"
11.0,13.0,3.0,"A, B, D, X"
11.0,13.0,3.0,"A, B, D, Y"
8.333333333333334,13.0,2.0,"A, B, D, Z"
14.333333333333334,21.0,1.0,"A, B, E, F"
14.0,21.0,1.0,"A, B, E, G"
12.666666666666666,21.0,1.0,"A, B, E, H"
8.666666666666666,21.0,1.0,"A, B, E, I"
8.333333333333334,21.0,1.0,"A, B, E, J"
9.333333333333334,21.0,1.0,"A, B, E, K"
10.0,21.0,1.0,"A, B, E, L"
9.0,21.0,1.0,"A, B, E, M"
9.0,21.0,1.0,"A, B, E, N"
11.0,21.0,1.0,"A, B, E, O"
14.333333333333334,21.0,1.0,"A, B, E, P"
8.333333333333334,21.0,1.0,"A, B, E, Q"
13.666666666666666,21.0,1.0,"A, B, E, R"
13.333333333333334,21.0,1.0,"A, B, E, S"
8.666666666666666,21.0,1.0,"A, B, E, T"
9.0,21.0,1.0,"A, B, E, U"
8.333333333333334,21.0,1.0,"A, B, E, V"
9.0,21.0,1.0,"A, B, E, W"
11.0,21.0,1.0,"A, B, E, X"
11.666666666666666,21.0,1.0,"A, B, E, Y"
11.0,21.0,1.0,"A, B, E, Z"
12.0,15.0,1.0,"A, B, F, G"
12.666666666666666,15.0,1.0,"A, B, F, H"
7.666666666666667,13.0,3.0,"A, B, F, I"
8.333333333333334,13.0,3.0,"A, B, F, J"
9.333333333333334,13.0,3.0,"A, B, F, K"
8.666666666666666,13.0,3.0,"A, B, F, L"
8.666666666666666,13.0,3.0,"A, B, F, M"
8.666666666666666,13.0,3.0,"A, B, F, N"
9.666666666666666,13.0,3.0,"A, B, F, O"
15.0,21.0,1.0,"A, B, F, P"
8.333333333333334,13.0,3.0,"A, B, F, Q"
13.666666666666666,17.0,1.0,"A, B, F, R"
12.0,15.0,1.0,"A, B, F, S"
8.666666666666666,13.0,3.0,"A, B, F, T"
8.0,13.0,3.0,"A, B, F, U"
8.0,13.0,3.0,"A, B, F, V"
8.666666666666666,13.0,3.0,"A, B, F, W"
9.666666666666666,13.0,3.0,"A, B, F, X"
10.333333333333334,13.0,4.0,"A, B, F, Y"
9.0,13.0,3.0,"A, B, F, Z"
11.666666666666666,15.0,2.0,"A, B, G, H"
8.333333333333334,15.0,1.0,"A, B, G, I"
8.333333333333334,15.0,1.0,"A, B, G, J"
8.0,15.0,1.0,"A, B, G, K"
8.333333333333334,15.0,1.0,"A, B, G, L"
8.333333333333334,15.0,1.0,"A, B, G, M"
8.333333333333334,15.0,1.0,"A, B, G, N"
12.0,15.0,2.0,"A, B, G, O"
12.0,17.0,1.0,"A, B, G, P"
7.333333333333333,15.0,1.0,"A, B, G, Q"
